Hsz-NTRK1 2000 1000 T083824-NTRK1
rank,node,Fabs,Frel,Class
1,t084423,2004,1.0,??
2,t014622,2006,1.0,??
3,t014623,2011,1.0,??
4,t057217,2013,1.0,??
5,t046638,2009,1.0,??
6,t150084,2006,1.0,??
7,t180869,2006,1.0,??
8,t087882,2007,1.0,??
9,t052936,2016,0.999504214179,??
10,t052938,2013,0.99950347567,??
11,t157895,2009,0.999502487562,??
12,t050511,2010,0.999005964215,??
13,t052937,2004,0.999002991027,??
14,t095064,2004,0.998505231689,??
15,t042866,2007,0.998010939831,??
16,t087885,2004,0.996519144704,??
17,t006419,2000,0.995024875622,??
18,t046293,1999,0.995022399204,??
19,t164151,1997,0.994026879044,??
20,t050621,1998,0.993535554451,??
21,t020583,2003,0.993058998513,??
22,t096934,1998,0.993041749503,??
23,t117193,1991,0.993017456359,??
24,t128761,1994,0.992533598805,??
25,t016708,1990,0.992518703242,??
26,t034765,1994,0.992039800995,??
27,t034491,1989,0.991031390135,??
28,t120977,1987,0.990034877927,??
29,t180811,1989,0.989552238806,??
30,t007449,1978,0.988505747126,??
31,t020582,1981,0.988029925187,??
32,t160346,1981,0.987537387836,??
33,t077434,1985,0.98609041232,??
34,t172692,1980,0.986055776892,??
35,t175179,1979,0.985067197611,??
36,t185861,1977,0.984561752988,??
37,t037500,1974,0.982578397213,??
38,t159350,1973,0.982080637133,??
39,t087880,1973,0.981592039801,??
40,t036981,1973,0.981103928394,??
41,t040497,1970,0.980099502488,??
42,t136261,1966,0.978596316575,??
43,t156413,1963,0.978564307079,??
44,t109466,1962,0.97855361596,??
45,t152508,1966,0.977623073098,??
46,t122568,1957,0.975087194818,??
47,t145985,1958,0.974129353234,??
48,t144813,1959,0.97365805169,??
49,t061978,1957,0.973631840796,??
50,t132597,1942,0.968095712861,??
51,t088206,1950,0.967741935484,??
52,t050510,1947,0.967693836978,??
53,t196365,1940,0.967581047382,??
54,t077398,1943,0.966666666667,??
55,t034764,1948,0.965790778384,??
56,t098795,1940,0.965174129353,??
57,t053040,1937,0.964641434263,??
58,t157894,1934,0.963627304434,??
59,t185862,1939,0.963238946846,??
60,t017182,1933,0.96264940239,??
61,t087878,1935,0.961251862891,??
62,t182463,1934,0.960755091903,??
63,t083823,1924,0.959600997506,??
64,t104893,1926,0.958208955224,??
65,t053248,1924,0.958167330677,??
66,t100065,1921,0.957149975087,??
67,t018115,1922,0.956218905473,??
68,t101609,1922,0.956218905473,??
69,t028222,1920,0.956175298805,??
70,t077879,1918,0.955655206776,??
71,t043741,1914,0.95223880597,??
72,t074605,1913,0.951741293532,??
73,t121356,1910,0.950248756219,??
74,t012247,1907,0.949701195219,??
75,t071136,1905,0.949177877429,??
76,t050430,1896,0.943753111,??
77,t007414,1890,0.943584623065,??
78,t028220,1886,0.940648379052,??
79,t149724,1884,0.935916542474,??
80,t109065,1885,0.935483870968,??
81,t141983,1879,0.934361014421,??
82,t026503,1871,0.931309109009,??
83,t013093,1866,0.929745889387,??
84,t041517,1865,0.927860696517,??
85,t126427,1864,0.926902038787,??
86,t050432,1868,0.926587301587,??
87,t025692,1861,0.924031777557,??
88,t074591,1849,0.919900497512,??
89,t042865,1850,0.919483101392,??
90,t054874,1847,0.918448533068,??
91,t006418,1844,0.918326693227,??
92,t180515,1842,0.917330677291,??
93,t043743,1842,0.915962207857,??
94,t181081,1840,0.915878546541,??
95,t034766,1842,0.91550695825,??
96,t189940,1839,0.915380786461,??
97,t059909,1836,0.914798206278,??
98,t071509,1836,0.913432835821,??
99,t144399,1835,0.912027833002,??
100,t093890,1824,0.910179640719,??
101,t104898,1826,0.909815645242,??
102,t179926,1826,0.909362549801,??
103,t077376,1824,0.908366533865,??
104,t174101,1827,0.908051689861,??
105,t147014,1820,0.907730673317,??
106,t087357,1816,0.902584493042,??
107,t010967,1812,0.902390438247,??
108,t077421,1810,0.900049726504,??
109,t152991,1811,0.899652260308,??
110,t200038,1805,0.898456943753,??
111,t153000,1798,0.896758104738,??
112,t032385,1804,0.89662027833,??
