Hs-TP53,2000,1000,T063857-TP53,"p21@TP53"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T026525,2004,1.0000,p35@PCBP2,e:5094,h:8648,F8VRH0,PCBP2,"poly(rC) binding protein 2","gene with protein product"
2,T138114,2005,1.0000,p5@JAGN1,e:84522,h:26926,,JAGN1,"jagunal homolog 1","gene with protein product"
3,T026527,2004,1.0000,p3@PCBP2,e:5094,h:8648,,PCBP2,"poly(rC) binding protein 2","gene with protein product"
4,T056670,2006,1.0000,p10@PROCA1,e:147011,h:28600,C9JIS6,PROCA1,"protein interacting with cyclin A1","gene with protein product"
5,T026523,2012,0.9990,p6@PCBP2,e:5094,h:8648,,PCBP2,"poly(rC) binding protein 2","gene with protein product"
6,T004762,2012,0.9990,p13@HNRNPF,e:3185,h:5039,Q8NI96,HNRNPF,"heterogeneous nuclear ribonucleoprotein F","gene with protein product"
7,T028814,2010,0.9990,p3@PHB2,e:11331,h:30306,,PHB2,"prohibitin 2","gene with protein product"
8,T069622,2009,0.9990,p6@SLC44A2,e:57153,h:17292,Q8IWA5,SLC44A2,"solute carrier family 44 member 2","gene with protein product"
9,T055258,2007,0.9990,p3@TUBB3,e:10381,h:20772,,TUBB3,"tubulin beta 3 class III","gene with protein product"
10,T053961,2006,0.9990,p11@BCAR1,e:9564,h:971,,BCAR1,"BCAR1, Cas family scaffolding protein","gene with protein product"
11,T063881,2005,0.9990,p1@TP53,e:7157,h:11998,"E7ERV1,P04637,E7ESS1",TP53,"tumor protein p53","gene with protein product"
12,T010571,2003,0.9990,p2@H2AFX,e:3014,h:4739,,H2AFX,"H2A histone family member X","gene with protein product"
13,T163131,2014,0.9985,p4@HIST1H2BM,e:8342,h:4750,Q99879,HIST1H2BM,"histone cluster 1 H2B family member m","gene with protein product"
14,T107888,2010,0.9985,p29@PATZ1,e:23598,h:13071,Q9HBE1,PATZ1,"POZ/BTB and AT hook containing zinc finger 1","gene with protein product"
15,T193378,2009,0.9985,p2@PPAPDC2,e:403313,h:23682,F5H461,PLPP6,"phospholipid phosphatase 6","gene with protein product"
16,T018088,2007,0.9985,p3@LAMTOR1,e:55004,h:26068,,LAMTOR1,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 1","gene with protein product"
17,T162527,2000,0.9985,p6@SOX4,e:6659,h:11200,Q06945,SOX4,"SRY-box 4","gene with protein product"
18,T191660,2005,0.9980,p2@TUBB4B,e:10383,h:20771,"P68371,Q96HX0",TUBB4B,"tubulin beta 4B class IVb","gene with protein product"
19,T107890,2002,0.9980,p30@PATZ1,e:23598,h:13071,Q9HBE1,PATZ1,"POZ/BTB and AT hook containing zinc finger 1","gene with protein product"
20,T125291,2000,0.9980,p5@AUP1,e:550,h:891,,AUP1,"ancient ubiquitous protein 1","gene with protein product"
21,T016695,2002,0.9975,p4@ZFPL1,e:7542,h:12868,,ZFPL1,"zinc finger protein like 1","gene with protein product"
22,T018500,2001,0.9970,p2@SNORD15B,e:114599,h:16649,,SNORD15B,"small nucleolar RNA, C/D box 15B","RNA, small nucleolar"
23,T048378,1999,0.9970,p51@IGF1R,e:3480,h:5465,,IGF1R,"insulin like growth factor 1 receptor","gene with protein product"
24,T015913,2001,0.9965,p5@EEF1G,e:1937,h:3213,Q53YD7,EEF1G,"eukaryotic translation elongation factor 1 gamma","gene with protein product"
25,T103505,2000,0.9965,p4@SLC2A4RG,e:56731,h:15930,,SLC2A4RG,"SLC2A4 regulator","gene with protein product"
26,T200213,1997,0.9965,p1@HSPB1P2,,h:5252,,HSPB1P2,"heat shock protein family B (small) member 1 pseudogene 2",pseudogene
27,T064805,1998,0.9960,p9@ACTG1,e:71,h:144,Q96DE1,ACTG1,"actin gamma 1","gene with protein product"
28,T063856,1998,0.9960,p7@TP53,e:7157,h:11998,,TP53,"tumor protein p53","gene with protein product"
29,T048369,1997,0.9960,p50@IGF1R,e:3480,h:5465,,IGF1R,"insulin like growth factor 1 receptor","gene with protein product"
30,T077876,2001,0.9950,p6@MBOAT7,e:79143,h:15505,,MBOAT7,"membrane bound O-acyltransferase domain containing 7","gene with protein product"
31,T074420,1998,0.9950,p8@SNRPA,e:6626,h:11151,,SNRPA,"small nuclear ribonucleoprotein polypeptide A","gene with protein product"
32,T077627,1997,0.9950,p3@CDC34,e:997,h:1734,P49427,CDC34,"cell division cycle 34","gene with protein product"
33,T026526,1997,0.9945,p12@PCBP2,e:5094,h:8648,,PCBP2,"poly(rC) binding protein 2","gene with protein product"
34,T122181,1995,0.9935,p5@MEMO1,e:51072,h:14014,Q9Y316,MEMO1,"mediator of cell motility 1","gene with protein product"
35,T182409,1995,0.9935,p19@HSF1,e:3297,h:5224,,HSF1,"heat shock transcription factor 1","gene with protein product"
36,T069624,1994,0.9930,p8@SLC44A2,e:57153,h:17292,B3KX31,SLC44A2,"solute carrier family 44 member 2","gene with protein product"
37,T179226,1993,0.9930,p2@ZNF706,e:51123,h:24992,E5RHR6,ZNF706,"zinc finger protein 706","gene with protein product"
38,T075109,1993,0.9930,p2@ZNF428,e:126299,h:20804,Q96B54,ZNF428,"zinc finger protein 428","gene with protein product"
39,T087940,1994,0.9915,p6@KDM5B,e:10765,h:18039,Q9UFD3,KDM5B,"lysine demethylase 5B","gene with protein product"
40,T015477,1993,0.9915,p4@PRPF19,e:27339,h:17896,,PRPF19,"pre-mRNA processing factor 19","gene with protein product"
41,T017374,1991,0.9915,"p2@RBM14-RBM4,p3@RBM4","e:5936,e:100526737","h:9901,h:38840","E7EQS3,Q9BWF3",RBM4,"RNA binding motif protein 4","gene with protein product"
42,T063331,1989,0.9915,p4@MRPL38,e:64978,h:14033,,MRPL38,"mitochondrial ribosomal protein L38","gene with protein product"
43,T172178,1998,0.9911,p3@CASP2,e:835,h:1503,,CASP2,"caspase 2","gene with protein product"
44,T052783,1992,0.9910,p4@PIGQ,e:9091,h:14135,,PIGQ,"phosphatidylinositol glycan anchor biosynthesis class Q","gene with protein product"
45,T035863,1993,0.9906,p12@MTA1,e:9112,h:7410,,MTA1,"metastasis associated 1","gene with protein product"
46,T028109,1987,0.9905,p6@NCAPD2,e:9918,h:24305,,NCAPD2,"non-SMC condensin I complex subunit D2","gene with protein product"
47,T159893,1991,0.9901,p6@CITED2,e:10370,h:1987,,CITED2,"Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2","gene with protein product"
