Hsz-MAP2K1,2000,1000,T045686-MAP2K1,"p2@MAP2K1"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T005585,2013,1.0000,p2@PFKFB3,e:5209,h:8874,"E9PGD4,Q5VX15,F5H5L1",PFKFB3,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3","gene with protein product"
2,T076237,2011,1.0000,p1@TICAM1,e:148022,h:18348,Q8IUC6,TICAM1,"toll like receptor adaptor molecule 1","gene with protein product"
3,T045685,2008,1.0000,p1@MAP2K1,e:5604,h:6840,"A4QPA9,Q02750",MAP2K1,"mitogen-activated protein kinase kinase 1","gene with protein product"
4,T158171,2009,0.9995,p1@DSE,e:29940,h:21144,Q9UL01,DSE,"dermatan sulfate epimerase","gene with protein product"
5,T188100,2008,0.9980,p1@ABCA1,e:19,h:29,B1AMI1,ABCA1,"ATP binding cassette subfamily A member 1","gene with protein product"
6,T069525,2009,0.9975,p1@MIR1181,e:100302213,h:35262,,MIR1181,"microRNA 1181","RNA, micro"
7,T099896,2001,0.9975,p1@CHMP4B,e:128866,h:16171,"P59074,Q9H444",CHMP4B,"charged multivesicular body protein 4B","gene with protein product"
8,T193704,2001,0.9965,p1@TJP2,e:9414,h:11828,,TJP2,"tight junction protein 2","gene with protein product"
9,T051421,1996,0.9950,p1@ZNF174,e:7727,h:12963,Q15697,ZNF174,"zinc finger protein 174","gene with protein product"
10,T128176,1993,0.9915,p1@WDR5B,e:54554,h:17826,Q86VZ2,WDR5B,"WD repeat domain 5B","gene with protein product"
11,T153164,1990,0.9915,p6@MGAT1,e:4245,h:7044,D6RAK2,MGAT1,"mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase","gene with protein product"
12,T107125,1989,0.9915,p1@ADORA2A,e:135,h:263,,ADORA2A,"adenosine A2a receptor","gene with protein product"
13,T133268,1992,0.9906,p1@ATP13A3,e:79572,h:24113,C9J7Z7,ATP13A3,"ATPase 13A3","gene with protein product"
14,T193703,1988,0.9905,p14@TJP2,e:9414,h:11828,,TJP2,"tight junction protein 2","gene with protein product"
15,T067930,1987,0.9905,p1@EPB41L3,e:23136,h:3380,A8K968,EPB41L3,"erythrocyte membrane protein band 4.1 like 3","gene with protein product"
16,T127859,1989,0.9876,p2@ARHGAP31,e:57514,h:29216,F5H7Q1,ARHGAP31,"Rho GTPase activating protein 31","gene with protein product"
17,T150903,1984,0.9876,p2@TNIP1,e:10318,h:16903,"Q15025,E7ERB0,E7EW15,B7Z5B0,F5GYD7,F5H4X3",TNIP1,"TNFAIP3 interacting protein 1","gene with protein product"
18,T055630,1982,0.9861,p1@PITPNA,e:5306,h:9001,"Q00169,F5GWE5",PITPNA,"phosphatidylinositol transfer protein alpha","gene with protein product"
19,T058655,1970,0.9811,p1@NKIRAS2,e:28511,h:17898,"Q9NYR9,B4DNM3",NKIRAS2,"NFKB inhibitor interacting Ras like 2","gene with protein product"
