Hsz-PTEN,2000,1000,T007773-PTEN,"p2@PTEN"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T137220,2015,1.0000,p8@FOXP1,e:27086,h:3823,,FOXP1,"forkhead box P1","gene with protein product"
2,T005782,2008,1.0000,p4@ARID5B,e:84159,h:17362,,ARID5B,"AT-rich interaction domain 5B","gene with protein product"
3,T111804,2016,1.0000,p1@CLASP1,e:23332,h:17088,"Q7Z460,F5GWS0,F8WA11,B7ZLX3,A2RU21",CLASP1,"cytoplasmic linker associated protein 1","gene with protein product"
4,T010447,2011,1.0000,p2@DDX6,e:1656,h:2747,,DDX6,"DEAD-box helicase 6","gene with protein product"
5,T087189,2008,0.9985,p2@TROVE2,e:6738,h:11313,,TROVE2,"TROVE domain family member 2","gene with protein product"
6,T131085,2002,0.9975,p10@SCHIP1,e:29970,h:15678,Q9P0W5,SCHIP1,"schwannomin interacting protein 1","gene with protein product"
7,T001634,1999,0.9950,p3@C10orf46,e:143384,h:23727,,CACUL1,"CDK2 associated cullin domain 1","gene with protein product"
8,T198026,1997,0.9950,p2@MTMR1,e:8776,h:7449,,MTMR1,"myotubularin related protein 1","gene with protein product"
9,T055239,1997,0.9930,p3@TCF25,e:22980,h:29181,,TCF25,"transcription factor 25","gene with protein product"
10,T180116,1989,0.9900,p2@SAMD12,e:401474,h:31750,,SAMD12,"sterile alpha motif domain containing 12","gene with protein product"
11,T193742,1984,0.9880,p4@PTAR1,e:375743,h:30449,,PTAR1,"protein prenyltransferase alpha subunit repeat containing 1","gene with protein product"
12,T162742,1980,0.9861,p2@C6orf62,e:81688,h:20998,Q9GZU0,C6orf62,"chromosome 6 open reading frame 62","gene with protein product"
13,T154637,1976,0.9860,p4@IL6ST,e:3572,h:6021,,IL6ST,"interleukin 6 signal transducer","gene with protein product"
14,T147528,1977,0.9841,p7@PJA2,e:9867,h:17481,,PJA2,"praja ring finger ubiquitin ligase 2","gene with protein product"
15,T136346,1975,0.9841,p2@DCP1A,e:55802,h:18714,,DCP1A,"decapping mRNA 1A","gene with protein product"
16,T100840,1969,0.9796,p2@SRSF6,e:6431,h:10788,,SRSF6,"serine and arginine rich splicing factor 6","gene with protein product"
17,T191751,1957,0.9751,p4@NFIB,e:4781,h:7785,,NFIB,"nuclear factor I B","gene with protein product"
18,T133621,1958,0.9736,p1@MIR922,e:100126321,h:33672,,MIR922,"microRNA 922","RNA, micro"
19,T160695,1946,0.9706,p6@AKAP12,e:9590,h:370,,AKAP12,"A-kinase anchoring protein 12","gene with protein product"
20,T190976,1941,0.9681,p3@BRD3,e:8019,h:1104,,BRD3,"bromodomain containing 3","gene with protein product"
21,T027540,1947,0.9663,p2@OS9,e:10956,h:16994,,OS9,"OS9, endoplasmic reticulum lectin","gene with protein product"
22,T006347,1939,0.9642,p2@SAR1A,e:56681,h:10534,,SAR1A,"secretion associated Ras related GTPase 1A","gene with protein product"
23,T143918,1934,0.9617,p9@LIMCH1,e:22998,h:29191,,LIMCH1,"LIM and calponin homology domains 1","gene with protein product"
24,T062026,1931,0.9612,p2@HELZ,e:9931,h:16878,,HELZ,"helicase with zinc finger","gene with protein product"
25,T149492,1921,0.9557,p5@PURA,e:5813,h:9701,,PURA,"purine rich element binding protein A","gene with protein product"
26,T115019,1918,0.9557,p12@CHN1,e:1123,h:1943,C9JR98,CHN1,"chimerin 1","gene with protein product"
27,T110413,1911,0.9507,p3@MAP4K4,e:9448,h:6866,,MAP4K4,"mitogen-activated protein kinase kinase kinase kinase 4","gene with protein product"
28,T008313,1903,0.9487,p2@FRA10AC1,e:118924,h:1162,,FRA10AC1,"FRA10A associated CGG repeat 1","gene with protein product"
29,T188006,1897,0.9438,p3@RNF20,e:56254,h:10062,Q5VTR2,RNF20,"ring finger protein 20","gene with protein product"
30,T075239,1897,0.9433,p1@UBXN6,e:80700,h:14928,Q9BZV1,UBXN6,"UBX domain protein 6","gene with protein product"
31,T136172,1890,0.9426,p2@BAP1,e:8314,h:950,,BAP1,"BRCA1 associated protein 1","gene with protein product"
32,T127048,1878,0.9343,p2@CBLB,e:868,h:1542,,CBLB,"Cbl proto-oncogene B","gene with protein product"
33,T082077,1870,0.9327,p3@ANP32E,e:81611,h:16673,,ANP32E,"acidic nuclear phosphoprotein 32 family member E","gene with protein product"
34,T029706,1867,0.9289,p3@SLC6A15,e:55117,h:13621,Q9H2J7,SLC6A15,"solute carrier family 6 member 15","gene with protein product"
35,T198856,1863,0.9273,p3@SH3KBP1,e:30011,h:13867,"E9PC08,Q96B97",SH3KBP1,"SH3 domain containing kinase binding protein 1","gene with protein product"
36,T056409,1849,0.9190,p3@MNT,e:4335,h:7188,Q99583,MNT,"MAX network transcriptional repressor","gene with protein product"
37,T038146,1841,0.9150,p3@SEC23A,e:10484,h:10701,,SEC23A,"Sec23 homolog A, coat complex II component","gene with protein product"
38,T002505,1836,0.9116,p3@OPTN,e:10133,h:17142,,OPTN,optineurin,"gene with protein product"
39,T060022,1828,0.9099,p1@CALCOCO2,e:10241,h:29912,"E7ETP5,B4DP36,E7ENK0,D6RJE7,E9PBE5,D6REB0",CALCOCO2,"calcium binding and coiled-coil domain 2","gene with protein product"
40,T023984,1824,0.9079,p3@ETNK1,e:55500,h:24649,,ETNK1,"ethanolamine kinase 1","gene with protein product"
41,T195932,1819,0.9077,p2@BEX1,e:55859,h:1036,Q9HBH7,BEX1,"brain expressed X-linked 1","gene with protein product"
42,T146750,1820,0.9068,p2@PKD2,e:5311,h:9009,B4DFN3,PKD2,"polycystin 2, transient receptor potential cation channel","gene with protein product"
43,T190527,1810,0.9009,p4@NUP214,e:8021,h:8064,,NUP214,"nucleoporin 214","gene with protein product"
44,T030341,1810,0.9005,p2@EEA1,e:8411,h:3185,Q7Z4D4,EEA1,"early endosome antigen 1","gene with protein product"
45,T071277,1806,0.8985,p2@GLT25D1,e:79709,h:26182,,COLGALT1,"collagen beta(1-O)galactosyltransferase 1","gene with protein product"
46,T125714,1799,0.8964,p2@C2orf68,e:388969,h:34353,,C2orf68,"chromosome 2 open reading frame 68","gene with protein product"
47,T150632,1793,0.8943,p2@TCOF1,e:6949,h:11654,Q9UFD4,TCOF1,"treacle ribosome biogenesis factor 1","gene with protein product"
48,T003316,1791,0.8933,p2@PLXDC2,e:84898,h:21013,F5H554,PLXDC2,"plexin domain containing 2","gene with protein product"
49,T011250,1790,0.8923,p2@ESAM,e:90952,h:17474,,ESAM,"endothelial cell adhesion molecule","gene with protein product"
50,T133545,1757,0.8763,p2@SENP5,e:205564,h:28407,,SENP5,"SUMO1/sentrin specific peptidase 5","gene with protein product"
51,T192586,1750,0.8689,p3@SMU1,e:55234,h:18247,,SMU1,"DNA replication regulator and spliceosomal factor","gene with protein product"
52,T125874,1732,0.8625,p2@PTCD3,e:55037,h:24717,,PTCD3,"pentatricopeptide repeat domain 3","gene with protein product"
53,T080996,1726,0.8604,p3@ATP1A1,e:476,h:799,P05023,ATP1A1,"ATPase Na+/K+ transporting subunit alpha 1","gene with protein product"
54,T014560,1731,0.8603,p3@HARBI1,e:283254,h:26522,E9PK24,HARBI1,"harbinger transposase derived 1","gene with protein product"
55,T025472,1727,0.8596,p3@CCNT1,e:904,h:1599,,CCNT1,"cyclin T1","gene with protein product"
56,T097245,1720,0.8553,p4@DDAH1,e:23576,h:2715,,DDAH1,"dimethylarginine dimethylaminohydrolase 1","gene with protein product"
57,T128196,1720,0.8553,p2@DTX3L,e:151636,h:30323,,DTX3L,"deltex E3 ubiquitin ligase 3L","gene with protein product"
58,T146003,1703,0.8502,p4@BMP2K,e:55589,h:18041,,BMP2K,"BMP2 inducible kinase","gene with protein product"
59,T038912,1693,0.8440,p2@KTN1,e:3895,h:6467,,KTN1,"kinectin 1","gene with protein product"
60,T109380,1677,0.8360,p3@RRP7A,e:27341,h:24286,,RRP7A,"ribosomal RNA processing 7 homolog A","gene with protein product"
61,T082985,1672,0.8323,p5@TPM3,e:7170,h:12012,,TPM3,"tropomyosin 3","gene with protein product"
62,T082432,1671,0.8309,p2@MRPL9,e:65005,h:14277,,MRPL9,"mitochondrial ribosomal protein L9","gene with protein product"
