Hsz-CTNNB1,2000,1000,T134668-CTNNB1,"p47@CTNNB1"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T064942,2012,1.0000,p30@ARHGDIA,e:396,h:678,,ARHGDIA,"Rho GDP dissociation inhibitor alpha","gene with protein product"
2,T107052,2011,1.0000,p3@SLC2A11,e:66035,h:14239,B5MCM7,SLC2A11,"solute carrier family 2 member 11","gene with protein product"
3,T100985,2007,1.0000,p6@PKIG,e:11142,h:9019,Q9Y2B9,PKIG,"cAMP-dependent protein kinase inhibitor gamma","gene with protein product"
4,T154517,2007,1.0000,p2@HSPB3,e:8988,h:5248,Q12988,HSPB3,"heat shock protein family B (small) member 3","gene with protein product"
5,T134666,2016,1.0000,p3@CTNNB1,e:1499,h:2514,E7EV28,CTNNB1,"catenin beta 1","gene with protein product"
6,T131866,2008,1.0000,p17@TBL1XR1,e:79718,h:29529,B7Z475,TBL1XR1,"transducin beta like 1 X-linked receptor 1","gene with protein product"
7,T150716,2004,1.0000,p7@SYNPO,e:11346,h:30672,Q8N3V7,SYNPO,synaptopodin,"gene with protein product"
8,T188225,2005,1.0000,p9@RAD23B,e:5887,h:9813,,RAD23B,"RAD23 homolog B, nucleotide excision repair protein","gene with protein product"
9,T033360,2011,0.9995,p16@ZC3H13,e:23091,h:20368,Q5T9K0,ZC3H13,"zinc finger CCCH-type containing 13","gene with protein product"
10,T018496,2010,0.9995,p4@OLFML1,e:283298,h:24473,E9PN44,OLFML1,"olfactomedin like 1","gene with protein product"
11,T032030,2007,0.9995,p2@TNFRSF19,e:55504,h:11915,"B4E2I6,Q9NS68",TNFRSF19,"TNF receptor superfamily member 19","gene with protein product"
12,T200979,2007,0.9990,p3@CITED1,e:4435,h:1986,C9J1P6,CITED1,"Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1","gene with protein product"
13,T130726,2007,0.9990,p17@MME,e:4311,h:7154,C9J9X7,MME,"membrane metalloendopeptidase","gene with protein product"
14,T037659,2004,0.9985,p4@ARHGAP5,e:394,h:675,G3V5I7,ARHGAP5,"Rho GTPase activating protein 5","gene with protein product"
15,T045399,2004,0.9985,p6@USP3,e:9960,h:12626,,USP3,"ubiquitin specific peptidase 3","gene with protein product"
16,T000259,2006,0.9980,p15@LZTS2,e:84445,h:29381,,LZTS2,"leucine zipper tumor suppressor 2","gene with protein product"
17,T084734,2005,0.9980,p4@ADAMTS4,e:9507,h:220,Q5VTW1,ADAMTS4,"ADAM metallopeptidase with thrombospondin type 1 motif 4","gene with protein product"
18,T013451,2003,0.9980,p3@DNAJC24,e:120526,h:26979,Q6P3W2,DNAJC24,"DnaJ heat shock protein family (Hsp40) member C24","gene with protein product"
19,T104933,2003,0.9980,p5@MEMO1P1,,h:23274,,MEMO1P1,"mediator of cell motility 1 pseudogene 1",pseudogene
20,T103955,2005,0.9975,p20@LINC00478,e:388815,h:1274,,MIR99AHG,"mir-99a-let-7c cluster host gene","RNA, long non-coding"
21,T050053,2000,0.9975,p7@ARHGAP17,e:55114,h:18239,,ARHGAP17,"Rho GTPase activating protein 17","gene with protein product"
22,T027009,2003,0.9970,p7@CDK2,e:1017,h:1771,,CDK2,"cyclin dependent kinase 2","gene with protein product"
23,T199164,2001,0.9965,p4@ARSE,e:415,h:719,F5H324,ARSE,"arylsulfatase E (chondrodysplasia punctata 1)","gene with protein product"
24,T142196,2002,0.9960,p4@LCORL,e:254251,h:30776,C9JI46,LCORL,"ligand dependent nuclear receptor corepressor like","gene with protein product"
25,T115975,1998,0.9960,p10@SESTD1,e:91404,h:18379,"B3KTX3,Q86VW0",SESTD1,"SEC14 and spectrin domain containing 1","gene with protein product"
26,T138632,1997,0.9960,p1@EEF1A1P9,,h:3204,,EEF1A1P9,"eukaryotic translation elongation factor 1 alpha 1 pseudogene 9",pseudogene
27,T179520,2000,0.9955,p4@RIMS2,e:9699,h:17283,E5RI36,RIMS2,"regulating synaptic membrane exocytosis 2","gene with protein product"
28,T149643,2004,0.9950,p2@PCDHB16,e:57717,h:14546,O15199,PCDHB16,"protocadherin beta 16",protocadherin
29,T043377,1999,0.9950,p1@BMF,e:90427,h:24132,Q96LC9,BMF,"Bcl2 modifying factor","gene with protein product"
30,T019220,1994,0.9950,p10@SYTL2,e:54843,h:15585,,SYTL2,"synaptotagmin like 2","gene with protein product"
31,T149653,1996,0.9935,p3@PCDHB18,e:54660,h:14548,Q96TA0,PCDHB18P,"protocadherin beta 18 pseudogene",pseudogene
32,T192271,1998,0.9930,p17@CDKN2A,e:1029,h:1787,Q8N726,CDKN2A,"cyclin dependent kinase inhibitor 2A","gene with protein product"
33,T109684,1996,0.9920,p24@FBLN1,e:2192,h:3600,,FBLN1,"fibulin 1","gene with protein product"
34,T118642,1991,0.9920,p2@PSMB3P2,,h:30150,,PSMB3P2,"proteasome subunit beta 3 pseudogene 2",pseudogene
35,T201534,1989,0.9915,p1@GPR143,e:4935,h:20145,P51810,GPR143,"G protein-coupled receptor 143","gene with protein product"
