Hsz-JAZF1,2000,1000,T174496-JAZF1,"p7@JAZF1"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T041517,2010,1.0000,p22@RIN3,e:79890,h:18751,,RIN3,"Ras and Rab interactor 3","gene with protein product"
2,T040379,2006,1.0000,p3@C14orf45,e:80127,h:19855,,BBOF1,"basal body orientation factor 1","gene with protein product"
3,T150486,2007,1.0000,p8@CSNK1A1,e:1452,h:2451,"P48729,Q6PJ06,Q05DL3",CSNK1A1,"casein kinase 1 alpha 1","gene with protein product"
4,T052892,2017,1.0000,p4@CMTM1,e:113540,h:19172,,CMTM1,"CKLF like MARVEL transmembrane domain containing 1","gene with protein product"
5,T182332,2009,1.0000,p7@GRINA,e:2907,h:4589,,GRINA,"glutamate ionotropic receptor NMDA type subunit associated protein 1","gene with protein product"
6,T163483,2011,1.0000,p7@PPP1R11,e:6992,h:9285,Q5SRK2,PPP1R11,"protein phosphatase 1 regulatory inhibitor subunit 11","gene with protein product"
7,T027537,2009,1.0000,p14@OS9,e:10956,h:16994,,OS9,"OS9, endoplasmic reticulum lectin","gene with protein product"
8,T142159,2006,1.0000,p4@DCAF16,e:54876,h:25987,,DCAF16,"DDB1 and CUL4 associated factor 16","gene with protein product"
9,T121132,2014,1.0000,p15@SEPT2,e:4735,h:7729,,SEPT2,"septin 2","gene with protein product"
10,T119888,2012,1.0000,p23@TRIP12,e:9320,h:12306,C9JLJ5,TRIP12,"thyroid hormone receptor interactor 12","gene with protein product"
11,T094810,2008,1.0000,p6@PLK3,e:1263,h:2154,,PLK3,"polo like kinase 3","gene with protein product"
12,T085614,2012,1.0000,p3@VAMP4,e:8674,h:12645,,VAMP4,"vesicle associated membrane protein 4","gene with protein product"
13,T132876,2010,1.0000,p14@LPP,e:4026,h:6679,,LPP,"LIM domain containing preferred translocation partner in lipoma","gene with protein product"
14,T044806,2015,1.0000,p9@ZNF280D,e:54816,h:25953,,ZNF280D,"zinc finger protein 280D","gene with protein product"
15,T015492,2014,1.0000,p5@TMEM109,e:79073,h:28771,,TMEM109,"transmembrane protein 109","gene with protein product"
16,T174495,2008,1.0000,p4@JAZF1,e:221895,h:28917,Q69YN3,JAZF1,"JAZF zinc finger 1","gene with protein product"
17,T115975,2009,1.0000,p10@SESTD1,e:91404,h:18379,"B3KTX3,Q86VW0",SESTD1,"SEC14 and spectrin domain containing 1","gene with protein product"
18,T026398,2009,0.9995,p9@TENC1,e:23371,h:19737,,TNS2,"tensin 2","gene with protein product"
19,T149809,2008,0.9995,p6@NDFIP1,e:80762,h:17592,,NDFIP1,"Nedd4 family interacting protein 1","gene with protein product"
20,T187226,2005,0.9995,p8@FAM92A1,e:137392,h:30452,E5RFS7,FAM92A,"family with sequence similarity 92 member A","gene with protein product"
21,T079191,2011,0.9990,p14@C19orf45,e:374877,h:24745,,C19orf45,"chromosome 19 open reading frame 45","gene with protein product"
22,T090277,2010,0.9990,p17@TP53BP2,e:7159,h:12000,,TP53BP2,"tumor protein p53 binding protein 2","gene with protein product"
23,T110135,2007,0.9990,p9@LMF2,e:91289,h:25096,,LMF2,"lipase maturation factor 2","gene with protein product"
24,T017189,2008,0.9985,p7@SF3B2,e:10992,h:10769,,SF3B2,"splicing factor 3b subunit 2","gene with protein product"
25,T187661,2007,0.9985,p4@TSTD2,e:158427,h:30087,Q5T7X0,TSTD2,"thiosulfate sulfurtransferase like domain containing 2","gene with protein product"
26,T058022,2004,0.9985,p7@CASC3,e:22794,h:17040,,CASC3,"cancer susceptibility candidate 3","gene with protein product"
27,T164339,2004,0.9980,p30@AGPAT1,e:10554,h:324,,AGPAT1,"1-acylglycerol-3-phosphate O-acyltransferase 1","gene with protein product"
28,T110169,2007,0.9970,p1@ODF3B,e:440836,h:34388,"B5MD02,B5MCN9",ODF3B,"outer dense fiber of sperm tails 3B","gene with protein product"
29,T056086,2002,0.9970,p1@FAM18B1,e:51030,h:20399,Q9NYZ1,TVP23B,"trans-golgi network vesicle protein 23 homolog B","gene with protein product"
30,T109679,2001,0.9970,p11@FBLN1,e:2192,h:3600,B1AHN3,FBLN1,"fibulin 1","gene with protein product"
31,T174524,2002,0.9965,p2@JAZF1,e:221895,h:28917,F8WCD3,JAZF1,"JAZF zinc finger 1","gene with protein product"
32,T038196,1999,0.9965,p13@CTAGE5,e:4253,h:7057,,CTAGE5,"CTAGE family member 5, ER export factor","gene with protein product"
33,T094673,1999,0.9965,p2@ST3GAL3,e:6487,h:10866,E9PJX2,ST3GAL3,"ST3 beta-galactoside alpha-2,3-sialyltransferase 3","gene with protein product"
34,T020674,2004,0.9960,p21@CSDA,e:8531,h:2428,,YBX3,"Y-box binding protein 3","gene with protein product"
35,T186342,2000,0.9960,p1@TRPA1,e:8989,h:497,O75762,TRPA1,"transient receptor potential cation channel subfamily A member 1","gene with protein product"
36,T081808,2002,0.9955,p6@LIX1L,e:128077,h:28715,,LIX1L,"limb and CNS expressed 1 like","gene with protein product"
37,T010097,1999,0.9955,p7@SIK3,e:23387,h:29165,,SIK3,"SIK family kinase 3","gene with protein product"
38,T155625,1998,0.9955,p17@ENC1,e:8507,h:3345,Q96L69,ENC1,"ectodermal-neural cortex 1","gene with protein product"
39,T020078,2000,0.9950,p4@CHPT1,e:56994,h:17852,,CHPT1,"choline phosphotransferase 1","gene with protein product"
40,T182336,1997,0.9940,p5@GRINA,e:2907,h:4589,,GRINA,"glutamate ionotropic receptor NMDA type subunit associated protein 1","gene with protein product"
41,T148539,1998,0.9935,p11@P4HA2,e:8974,h:8547,,P4HA2,"prolyl 4-hydroxylase subunit alpha 2","gene with protein product"
42,T075511,1998,0.9930,p4@MARK4,e:57787,h:13538,O75271,MARK4,"microtubule affinity regulating kinase 4","gene with protein product"
43,T180904,1997,0.9930,p8@PVT1,,h:9709,,PVT1,"Pvt1 oncogene (non-protein coding)","RNA, long non-coding"
44,T097244,1996,0.9930,p46@DDAH1,e:23576,h:2715,,DDAH1,"dimethylarginine dimethylaminohydrolase 1","gene with protein product"
45,T104043,1993,0.9930,p4@C21orf91,e:54149,h:16459,"Q9NYK6,Q68DA1",C21orf91,"chromosome 21 open reading frame 91","gene with protein product"
46,T188543,1995,0.9925,p3@C9orf29,,h:23369,Q5JVP1,LRRC37A5P,"leucine rich repeat containing 37 member A5, pseudogene",pseudogene
47,T149662,1998,0.9921,p2@PCDHGA2,e:56113,h:8700,Q9Y5H1,PCDHGA2,"protocadherin gamma subfamily A, 2",protocadherin
48,T090606,1993,0.9915,p5@ARF1,e:375,h:652,,ARF1,"ADP ribosylation factor 1","gene with protein product"
49,T093796,1996,0.9911,p5@ZMYM4,e:9202,h:13055,,ZMYM4,"zinc finger MYM-type containing 4","gene with protein product"
50,T141063,1995,0.9906,p10@PDGFC,e:56034,h:8801,Q9NRA1,PDGFC,"platelet derived growth factor C","gene with protein product"
51,T191457,1985,0.9900,p12@FBXW5,e:54461,h:13613,Q969U6,FBXW5,"F-box and WD repeat domain containing 5","gene with protein product"
52,T009389,1991,0.9896,p2@EIF4G2,e:1982,h:3297,,EIF4G2,"eukaryotic translation initiation factor 4 gamma 2","gene with protein product"
53,T119533,1986,0.9886,p24@SERPINE2,e:5270,h:8951,P07093,SERPINE2,"serpin family E member 2","gene with protein product"
54,T162744,1983,0.9885,p7@C6orf62,e:81688,h:20998,,C6orf62,"chromosome 6 open reading frame 62","gene with protein product"
55,T053088,1982,0.9885,p3@ZDHHC1,e:29800,h:17916,Q8WTX9,ZDHHC1,"zinc finger DHHC-type containing 1","gene with protein product"
56,T053961,1990,0.9881,p11@BCAR1,e:9564,h:971,,BCAR1,"BCAR1, Cas family scaffolding protein","gene with protein product"
57,T179141,1988,0.9881,p4@PABPC1,e:26986,h:8554,,PABPC1,"poly(A) binding protein cytoplasmic 1","gene with protein product"
58,T060026,1982,0.9880,p4@CALCOCO2,e:10241,h:29912,Q13137,CALCOCO2,"calcium binding and coiled-coil domain 2","gene with protein product"
59,T171428,1981,0.9875,p6@DGKI,e:9162,h:2855,,DGKI,"diacylglycerol kinase iota","gene with protein product"
60,T057228,1982,0.9871,p4@CCT6B,e:10693,h:1621,B4DYB0,CCT6B,"chaperonin containing TCP1 subunit 6B","gene with protein product"
61,T029753,1982,0.9871,p33@WNK1,e:65125,h:14540,F5GWT4,WNK1,"WNK lysine deficient protein kinase 1","gene with protein product"
62,T189757,1986,0.9866,p6@FAM129B,e:64855,h:25282,,FAM129B,"family with sequence similarity 129 member B","gene with protein product"
63,T150624,1980,0.9865,p3@ARSI,e:340075,h:32521,Q5FYB1,ARSI,"arylsulfatase family member I","gene with protein product"
64,T026119,1984,0.9861,p27@KRT7,e:3855,h:6445,,KRT7,"keratin 7","gene with protein product"
65,T182384,1982,0.9861,p14@SHARPIN,e:81858,h:25321,,SHARPIN,"SHANK associated RH domain interactor","gene with protein product"
66,T129197,1981,0.9861,p2@NPHP3,"e:27031,e:100532724",h:7907,Q7Z494,NPHP3,"nephrocystin 3","gene with protein product"
67,T133902,1975,0.9845,p5@RARB,e:5915,h:9865,"F1D8S6,P10826",RARB,"retinoic acid receptor beta","gene with protein product"
68,T155095,1978,0.9836,p2@PPWD1,e:23398,h:28954,,PPWD1,"peptidylprolyl isomerase domain and WD repeat containing 1","gene with protein product"
69,T131509,1975,0.9836,p8@LRRC34,e:151827,h:28408,,LRRC34,"leucine rich repeat containing 34","gene with protein product"
70,T190243,1972,0.9826,p8@PPP2R4,e:5524,h:9308,B7ZBQ0,PTPA,"protein phosphatase 2 phosphatase activator","gene with protein product"
71,T198767,1971,0.9826,p5@CDKL5,e:6792,h:11411,,CDKL5,"cyclin dependent kinase like 5","gene with protein product"
72,T138430,1968,0.9825,p19@SLC39A8,e:64116,h:20862,B4E2H3,SLC39A8,"solute carrier family 39 member 8","gene with protein product"
73,T121187,1977,0.9821,p7@ATG4B,e:23192,h:20790,,ATG4B,"autophagy related 4B cysteine peptidase","gene with protein product"
74,T026939,1973,0.9821,p4@DNAJC14,e:85406,h:24581,,DNAJC14,"DnaJ heat shock protein family (Hsp40) member C14","gene with protein product"
75,T065098,1972,0.9811,p5@RFNG,e:5986,h:9974,,RFNG,"RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase","gene with protein product"
76,T093218,1972,0.9806,p3@PRDM16,e:63976,h:14000,D6RDW0,PRDM16,"PR/SET domain 16","gene with protein product"
77,T098461,1970,0.9806,p5@PSMF1,e:9491,h:9571,,PSMF1,"proteasome inhibitor subunit 1","gene with protein product"
78,T015463,1971,0.9786,p5@CCDC86,e:79080,h:28359,,CCDC86,"coiled-coil domain containing 86","gene with protein product"
79,T201703,1963,0.9776,p5@TXLNG2P,e:246126,h:18473,,TXLNGY,"taxilin gamma pseudogene, Y-linked",pseudogene
80,T160012,1962,0.9776,p4@HIVEP2,e:3097,h:4921,P31629,HIVEP2,"human immunodeficiency virus type I enhancer binding protein 2","gene with protein product"
81,T091275,1963,0.9771,p6@RBM34,e:23029,h:28965,,RBM34,"RNA binding motif protein 34","gene with protein product"
82,T016485,1959,0.9771,p11@SMPD1,e:6609,h:11120,,SMPD1,"sphingomyelin phosphodiesterase 1","gene with protein product"
83,T166409,1956,0.9760,p3@ENPP5,e:59084,h:13717,Q9UJA9,ENPP5,"ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative)","gene with protein product"
84,T183293,1957,0.9751,p5@KIAA1967,e:57805,h:23360,Q8N163,CCAR2,"cell cycle and apoptosis regulator 2","gene with protein product"
85,T149660,1954,0.9750,p5@PCDHGA2,e:56113,h:8700,Q9Y5H1,PCDHGA2,"protocadherin gamma subfamily A, 2",protocadherin
86,T010127,1956,0.9746,p10@SIDT2,e:51092,h:24272,Q8NBJ9,SIDT2,"SID1 transmembrane family member 2","gene with protein product"
87,T171631,1954,0.9746,p11@HIPK2,e:28996,h:14402,Q9H2X6,HIPK2,"homeodomain interacting protein kinase 2","gene with protein product"
88,T108825,1954,0.9741,p94@DDX17,e:10521,h:2740,,DDX17,"DEAD-box helicase 17","gene with protein product"
89,T062714,1955,0.9722,p6@CTDNEP1,e:23399,h:19085,O95476,CTDNEP1,"CTD nuclear envelope phosphatase 1","gene with protein product"
90,T174795,1953,0.9707,p4@GARS,e:2617,h:4162,,GARS,"glycyl-tRNA synthetase","gene with protein product"
91,T108873,1948,0.9706,p23@SUN2,e:25777,h:14210,,SUN2,"Sad1 and UNC84 domain containing 2","gene with protein product"
92,T027063,1947,0.9687,p5@ESYT1,e:23344,h:29534,,ESYT1,"extended synaptotagmin 1","gene with protein product"
93,T000614,1943,0.9686,p4@CALHM2,e:51063,h:23493,,CALHM2,"calcium homeostasis modulator 2","gene with protein product"
94,T016953,1936,0.9661,p12@LTBP3,e:4054,h:6716,E7EWA3,LTBP3,"latent transforming growth factor beta binding protein 3","gene with protein product"
