Vv_m2,2000,1000,VIT_13s0019g04260
rank,node,Fabs,Frel,Functional-annotation,Name-EC-KeggID,Updated-name,Network1,Network2
1,VIT_11s0016g00580,2066,1.0000,Unknown,,,,
2,VIT_00s0207g00010,2068,0.9976,Anthranilate N-benzoyltransferase protein 1,E2_3_1_144,,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,
3,VIT_02s0012g01670,2046,0.9942,R-mandelonitrile lyase isoform 1 precursor,E4_1_2_10,,vv10460Cyanoamino_acid_metabolism,
4,VIT_14s0108g01080,2065,0.9933,Myb domain protein 106,MYB106_2,MYB141,vv60044MYB,
5,VIT_03s0063g01890,2052,0.9932,Ring-H2 finger protein ATL3G,,,,
6,VIT_16s0050g00870,2042,0.9917,Acyltransferase,E2_3_1_x,,,
7,VIT_08s0056g00800,2032,0.9893,Myb domain protein 60,MYB60,MYB60,vv60044MYB,
8,VIT_16s0050g00830,2038,0.9869,Beta-ketoacyl-CoA synthase,E2_3_1_41,,vv10061Fatty_acid_biosynthesis,
9,VIT_14s0066g00400,2025,0.9835,Chalcone isomerase,E5_5_1_6,,vv10941Flavonoid_biosynthesis,
10,VIT_15s0046g02400,2031,0.9821,Glycerol-3-phosphate acyltransferase 8,E2_3_1_15,,vv10561Glycerolipid_metabolism,vv10564Glycerophospholipid_metabolism
11,VIT_07s0104g00090,2029,0.9816,Transparent testa 8 TT8,TT8,,vv60011BHLH,
12,VIT_02s0025g04630,2022,0.9806,Homeodomain transcription factor (KNAT7),KNAT7,VvHB08,vv60034HB,
13,VIT_07s0031g01680,2041,0.9803,CYP86A1,,,,
14,VIT_18s0072g01000,2026,0.9797,Dihydrolipoamide S-acetyltransferase,E2_3_1_12,,vv10010Glycolysis,vv10252Alanine_and_aspartate_metabolism
15,VIT_09s0002g03940,2036,0.9784,AP2/EREBP transcription factor,TINY2_1,VvERF034,vv30008Ethylene_signaling,vv60003AP2_EREBP
16,VIT_04s0023g01590,2018,0.9782,No hit,,,,
17,VIT_17s0000g10060,2025,0.9778,Lipase GDSL,,,,
18,VIT_04s0008g05440,2015,0.9767,Ethylene-responsive transcription factor SHINE 3,SHINE3_1,VvERF044,vv30008Ethylene_signaling,vv60003AP2_EREBP
19,VIT_13s0067g00730,2012,0.9762,Carboxylic ester hydrolase,E3_1_1_1,,,
20,VIT_02s0033g00240,2022,0.9721,Glucosyltransferase twi1,,,,
21,VIT_02s0025g04410,2005,0.9700,Beta-ketoacyl-CoA synthase,E2_3_1_41,,vv10061Fatty_acid_biosynthesis,
22,VIT_18s0001g12000,2002,0.9690,Geranylgeranyl pyrophosphate synthetase 1  chloroplast precursor,E2_5_1_29,,vv10100Biosynthesis_of_steroids,vv10900Terpenoid_biosynthesis
23,VIT_08s0007g00570,2003,0.9686,WRKY DNA-binding protein 49,WRKY49,VvWRKY27,vv60066WRKY,
24,VIT_13s0019g02880,1984,0.9622,UDP-glucoronosyl/UDP-glucosyl transferase,,,,
25,VIT_06s0004g06520,1992,0.9614,Ammonium transporter 1  member 1 (AMT1.1),AMT1_1,,vv50101Channels_and_pores,
26,VIT_09s0002g06750,1950,0.9457,ERF/AP2 transcription factor sub B-6 SHINE,SHINE1_1,VvERF042,vv30008Ethylene_signaling,vv60003AP2_EREBP
27,VIT_13s0064g01050,1945,0.9451,ADP ATP carrier protein 1,K05863,,vv50123Porters_cat_18_to_29,
28,VIT_02s0025g04550,1956,0.9449,Glucose-methanol-choline (GMC) oxidoreductase,E1_1_99_1,,vv10260Glycine_serine_and_threonine_metabolism,
29,VIT_09s0002g06990,1959,0.9432,Phosphatidic acid phosphatase / PAP2,E3_1_3_4,,vv10561Glycerolipid_metabolism,vv10564Glycerophospholipid_metabolism
30,VIT_13s0064g00160,1942,0.9413,Unknown protein,,,,
31,VIT_03s0038g03810,1948,0.9397,Serine/threonine Protein kinase BNK1,,,,
32,VIT_05s0020g02590,1922,0.9317,Pentatricopeptide (PPR) repeat-containing protein,,,,
33,VIT_00s0516g00010,1924,0.9290,Unknown,,,,
34,VIT_10s0003g02500,1909,0.9249,Malate dehydrogenase  cytoplasmic 1,E1_1_1_37,,vv10020Citrate_cycle,vv10620Pyruvate_metabolism
35,VIT_18s0001g15260,1872,0.9057,Myb domain protein 52,MYB52_1,MYB170,vv60044MYB,
36,VIT_15s0046g00850<br>VIT_19s0138g00070<br>VIT_05s0062g01300,1852,0.9003,
37,VIT_18s0001g14910,1857,0.8915,Mannitol dehydrogenase,E1_1_1_67,,vv10051Fructose_and_mannose_metabolism,
38,VIT_12s0055g00820,1826,0.8851,Serine carboxypeptidase II,,,,
39,VIT_14s0171g00390,1826,0.8826,DNA-binding storekeeper protein,STOREKEEPER_1,,vv60030GeBP,
40,VIT_01s0010g02740,1829,0.8823,4-coumarate-CoA ligase,E6_2_1_12,,vv10940Phenylpropanoid_biosynthesis,vv50104Group_translocators
41,VIT_18s0001g13260,1812,0.8783,ATP-dependent protease La (LON) domain-containing protein,E3_4_21_53,,,
42,VIT_04s0008g02920,1788,0.8675,Desiccation protein PCC13-62 precursor,,,,
43,VIT_06s0009g02640,1774,0.8578,Hydroxymethylglutaryl-CoA lyase,E4_1_3_4,,vv10072Synthesis_and_degradation_of_ketone_bodies,vv10280Valine_leucine_and_isoleucine_degradation
44,VIT_10s0003g05420,1763,0.8558,S-2-hydroxy-acid oxidase  peroxisomal,E1_1_3_15,,vv10630Glyoxylate_and_dicarboxylate_metabolism,
45,VIT_10s0003g03330,1756,0.8533,Receptor-like serine-threonine protein kinase,,,,
46,VIT_07s0005g00450,1759,0.8531,Unknown protein,,,,
47,VIT_11s0052g00800,1754,0.8506,Protein kinase family,,,,
48,VIT_00s0286g00130,1751,0.8504,S-locus lectin protein kinase,,,,
49,VIT_18s0001g14660,1758,0.8468,P-glycoprotein 13,PGP13,,vv52010ABC_transporters,
50,VIT_06s0004g01780,1743,0.8445,Serine/threonine-protein kinase OXI1,,,,
51,VIT_04s0023g00020,1729,0.8377,No hit,,,,
52,VIT_18s0122g01400,1729,0.8353,Exostosin family protein,K02366,,vv11030Glycan_structures-biosynthesis1,
53,VIT_08s0007g06680,1713,0.8344,PMR5 (powdery mildew resistant 5),,,,
54,VIT_10s0003g03530,1711,0.8322,Lupeol synthase,E5_4_99_8,,vv10100Biosynthesis_of_steroids,
55,VIT_00s2197g00010,1721,0.8274,Gibberellin 20-oxidase,E1_14_11_12,,vv10904Diterpenoid_biosynthesis,
56,VIT_13s0074g00390,1700,0.8256,CYP77A2,,,,
57,VIT_08s0007g09000,1707,0.8242,Glycerol-3-phosphate dehydrogenase,E1_1_1_8,,vv10564Glycerophospholipid_metabolism,
58,VIT_18s0001g06640,1701,0.8205,Zinc finger (C3HC4-type ring finger),ZFC3HC4_60,,vv60078Other_zf-C3HC4,
59,VIT_03s0038g00480,1691,0.8201,GATA transcription factor 25,GAT25_1,,vv60016C2C2-GATA,
60,VIT_18s0072g01260,1674,0.8126,No hit,,,,
61,VIT_15s0046g01960,1667,0.8053,Hydroquinone glucosyltransferase,E2_4_1_218,,vv10500Starch_and_sucrose_metabolism,
62,VIT_08s0058g00530,1671,0.8053,Unknown protein,,,,
63,VIT_09s0002g07250,1670,0.8048,No hit,,,,
64,VIT_19s0014g04010,1652,0.8039,No hit,,,,
65,VIT_05s0049g01450,1642,0.7955,No hit,,,,
66,VIT_02s0012g01680,1626,0.7928,Trehalose phosphatase 5,E3_1_3_12,,vv10500Starch_and_sucrose_metabolism,
67,VIT_00s0399g00010,1616,0.7807,Unknown,,,,
68,VIT_08s0007g00700,1607,0.7778,PCS1 (promotion of cell survival1) peptidase,,,,
69,VIT_11s0118g00180,1598,0.7694,HHP1 (heptahelical protein 1),,,,
70,VIT_10s0003g00620,1593,0.7677,Lipase GDSL,,,,
71,VIT_07s0130g00340<br>VIT_07s0130g00320,1585,0.7642,
