Locus-name_V1_12X,Functional-annotation,Name-EC-KeggID,Updated-name,Network1,Network2
VIT_00s0120g00010,Peroxisomal biogenesis factor 11 (PEX11C),,,,
VIT_00s0120g00020,Importin beta-3,IMPBETA3,,vv50109Incompletely_characterized_transport_systems,vv50112Nuclear_pore_complex
VIT_00s0120g00030,AAA-type ATPase,,,,
VIT_00s0120g00040,Integrase,,,,
VIT_00s0120g00050,Retrovirus Pol polyprotein,,,,
VIT_00s0120g00060,AAA-type ATPase,,,,
VIT_00s0120g00070,AAA-type ATPase,,,,
VIT_00s0120g00080,No hit,,,,
VIT_00s0120g00090,Retrovirus Pol polyprotein,,,,
VIT_00s0120g00100,Asparaginyl-tRNA synthetase  cytoplasmic 3,E6_1_1_22,,vv10252Alanine_and_aspartate_metabolism,vv20970Aminoacyl-tRNA_biosynthesis
VIT_00s0120g00110,Retrovirus Pol polyprotein,,,,
VIT_00s0120g00120,No hit,,,,
VIT_00s0120g00130,No hit,,,,
VIT_00s0120g00140,No hit,,,,
VIT_00s0120g00150,Pol polyprotein,,,,
VIT_00s0120g00160,No hit,,,,
VIT_00s0120g00170,Retrovirus Pol polyprotein,,,,
VIT_00s0120g00180,No hit,,,,
VIT_00s0120g00190,Retrovirus Pol polyprotein,,,,
VIT_00s0120g00200,No hit,,,,
VIT_00s0120g00210,No hit,,,,
VIT_00s0120g00220,Retrovirus Pol polyprotein,,,,
VIT_00s0120g00230,Retrovirus Pol polyprotein,,,,
VIT_00s0120g00240,Integrase,,,,
VIT_00s0120g00250,Retrovirus Pol polyprotein,,,,
VIT_00s0120g00260,Integrase,,,,
VIT_00s0120g00270,Myosin-like protein XIA,MYOSINXIA,,vv44810Regulation_of_actin_cytoskeleton,
VIT_00s0120g00280,No hit,,,,
VIT_00s0120g00290,Aminopeptidase,,,,
VIT_00s0120g00300,No hit,,,,
VIT_00s0120g00310,Transposon,,,,
VIT_00s0125g00010,No hit,,,,
VIT_00s0125g00020,Reverse transcriptase,,,,
VIT_00s0125g00030,Maturase,,,,
VIT_00s0125g00040,No hit,,,,
VIT_00s0125g00050,No hit,,,,
VIT_00s0125g00060,Unknown,,,,
VIT_00s0125g00070,No hit,,,,
VIT_00s0125g00080,No hit,,,,
VIT_00s0125g00090,Leucine-rich repeat protein kinase,,,,
VIT_00s0125g00100,Protein kinase,,,,
VIT_00s0125g00110,Integrase,,,,
VIT_00s0125g00120,Integrase,,,,
VIT_00s0125g00130,Transposon,,,,
VIT_00s0125g00140,SHR5-receptor-like kinase,,,,
VIT_00s0125g00150,SHR5-receptor-like kinase,,,,
VIT_00s0125g00160,No hit,,,,
VIT_00s0125g00170,Peroxisome biogenesis protein (PEX1),PEX1,,vv44146Peroxisome,vv50133Primary_active_transporter_cat_A9_to_A18
VIT_00s0125g00180,Zinc finger (C3HC4-type ring finger),ZFC3HC4,,,
VIT_00s0125g00190,Potassium transporter (KUP1),KUP1,,vv50125Porters_cat_66_to_94,
VIT_00s0125g00200,No hit,,,,
VIT_00s0125g00210,Serine/theronine protein kinase 2,,,,
VIT_00s0125g00220,Serine/theronine protein kinase 2,,,,
VIT_00s0125g00230,No hit,,,,
VIT_00s0125g00240,Peptidylprolyl isomerase,K01802,,,
VIT_00s0125g00250,Zinc finger (ubiquitin-hydrolase) domain-containing,ZFUBP_2,,vv60080Other_zf,
VIT_00s0125g00260,Unknown,,,,
VIT_00s0125g00270,Cyclin-T1-5 (CycT1;5),CYCT1_5,,vv44110Cell_cycle,
VIT_00s0125g00280,Photosystem I reaction center subunit III (PSAF),K02694,,vv10195Photosynthesis,vv50105Transport_electron_carriers
VIT_00s0125g00290,Lateral organ boundaries domain protein 4 (LBD4),LBD4_2,,vv60007AS2,
VIT_00s0125g00300,No hit,,,,
VIT_00s0125g00310,Unknown protein,,,,
VIT_00s0125g00320,No hit,,,,
VIT_00s0125g00330,TET10 (tetraspanin10),,,,
VIT_00s0125g00340,TET10 (tetraspanin10),,,,
VIT_00s0125g00350,Proteasome 26S regulatory subunit (RPN2),K03032,,vv23050Proteasome,
VIT_00s0125g00360,Transposon,,,,
VIT_00s0125g00370,No hit,,,,
VIT_00s0125g00380,No hit,,,,
VIT_00s0125g00390,Alpha-glucosidase,E3_2_1_20,,vv10052Galactose_metabolism,vv10500Starch_and_sucrose_metabolism
VIT_00s0125g00400,Mutator-like transposase,,,,
VIT_00s0125g00410,Phospholipid-transporting ATPase,K01530,,vv50131Primary_active_transporter_cat_A2_to_A4,
VIT_00s0125g00420,Unknown,,,,
VIT_00s0125g00430,Root hair defective 3 GTP-binding (RHD3),,,,
VIT_00s0125g00440,Unknown,,,,
VIT_00s0131g00010,Annexin ANN3,ANN3,,vv50101Channels_and_pores,
VIT_00s0131g00020,Annexin ANN4,ANN4,,vv50101Channels_and_pores,
VIT_00s0131g00030,Annexin ANN4,ANN4,,vv50101Channels_and_pores,
VIT_00s0131g00040,No hit,,,,
VIT_00s0131g00050,Annexin ANN3,ANN3,,vv50101Channels_and_pores,
VIT_00s0131g00060,Annexin ANN3,ANN3,,vv50101Channels_and_pores,
VIT_00s0131g00070,No hit,,,,
VIT_00s0131g00080,Annexin ANN4,ANN4,,vv50101Channels_and_pores,
VIT_00s0131g00090,No hit,,,,
VIT_00s0131g00100,Retrovirus Pol polyprotein,,,,
VIT_00s0131g00110,Retrotransposon gag protein,,,,
VIT_00s0131g00120,Dimethylaniline monooxygenase  N-oxide-forming,E1_14_13_8,,vv11000Single_reactions,
VIT_00s0131g00130,Annexin ANN3,ANN3,,vv50101Channels_and_pores,
VIT_00s0131g00140,Annexin ANN3,ANN3,,vv50101Channels_and_pores,
VIT_00s0131g00150,Unknown protein,,,,
VIT_00s0131g00160,Retrovirus Pol polyprotein,,,,
VIT_00s0131g00170,Annexin ANN4,ANN4,,vv50101Channels_and_pores,
VIT_00s0131g00180,Annexin ANN4,ANN4,,vv50101Channels_and_pores,
VIT_00s0131g00190,Retrovirus Pol polyprotein,,,,
VIT_00s0131g00200,Hcr2-0B,,,,
VIT_00s0131g00210,Annexin ANN3,ANN3,,vv50101Channels_and_pores,
VIT_00s0131g00220,Annexin ANN3,ANN3,,vv50101Channels_and_pores,
VIT_00s0131g00230,Integrase,,,,
VIT_00s0131g00240,No hit,,,,
VIT_00s0131g00250,Heat shock protein 81-2 (HSP81-2),K04079,,vv24141Protein_processing_in_endoplasmic_reticulum,vv34626Plant-pathogen_interaction
VIT_00s0131g00260,Annexin ANN4,ANN4,,vv50101Channels_and_pores,
VIT_00s0131g00270,Protein phosphatase 2 (formerly 2A)  regulatory subunit A,K03456,,vv23015mRNA_surveillance_pathway,vv34020Calcium_signaling_pathway
VIT_00s0131g00280,C2 domain-containing protein,,,,
VIT_00s0131g00290,Protein phosphatase 2 (formerly 2A)  regulatory subunit A,K03456,,vv23015mRNA_surveillance_pathway,vv34020Calcium_signaling_pathway
VIT_00s0131g00300,No hit,,,,
VIT_00s0131g00310,Annexin ANN4,ANN4,,vv50101Channels_and_pores,
VIT_00s0131g00320,Annexin ANN3,ANN3,,vv50101Channels_and_pores,
VIT_00s0131g00330,F-box family protein,,,,
VIT_00s0131g00340,Annexin ANN4,ANN4,,vv50101Channels_and_pores,
VIT_00s0131g00350,Annexin ANN4,ANN4,,vv50101Channels_and_pores,
VIT_00s0131g00360,No hit,,,,
VIT_00s0131g00370,No hit,,,,
VIT_00s0131g00380,Integrase,,,,
VIT_00s0131g00390,Retrovirus Pol polyprotein,,,,
VIT_00s0131g00400,Transposon,,,,
VIT_00s0131g00410,Retrovirus Pol polyprotein,,,,
VIT_00s0131g00420,Isoamylase isoform 3,E2_4_1_18,,vv10500Starch_and_sucrose_metabolism,
VIT_00s0131g00430,KOW domain-containing factor family protein,KOWDOM,,,
VIT_00s0144g00010,CCR4-NOT transcription complex  subunit 1,K12604,,vv23018RNA_degradation,
VIT_00s0144g00020,No hit,,,,
VIT_00s0144g00030,No hit,,,,
VIT_00s0144g00040,R protein MLA10,K13475,,vv34627R_proteins_from_Plant-pathogen_interaction,
VIT_00s0144g00050,Retrovirus Pol polyprotein,,,,
VIT_00s0144g00060,HcrVf2 protein,,,,
VIT_00s0144g00070,Retrovirus Pol polyprotein,,,,
VIT_00s0144g00080,CCHC-type integrase,,,,
VIT_00s0144g00090,No hit,,,,
VIT_00s0144g00100,No hit,,,,
VIT_00s0144g00110,HcrVf2 protein,,,,
VIT_00s0144g00120,R protein MLA10,K13475,,vv34627R_proteins_from_Plant-pathogen_interaction,
VIT_00s0144g00130,Integrase,,,,
VIT_00s0144g00140,Retrovirus Pol polyprotein,,,,
VIT_00s0144g00150,Copia protein,,,,
VIT_00s0144g00160,No hit,,,,
VIT_00s0144g00170,HcrVf1 protein,,,,
VIT_00s0144g00180,Pro-Pol polyprotein,,,,
