T000001,p1@LOXL4
T000006,p1@PYROXD2
T000007,p2@PYROXD2
T000014,p1@HPS1
T000023,p1@HPSE2
T000024,p3@HPSE2
T000025,p4@HPSE2
T000026,p2@HPSE2
T000027,p5@HPSE2
T000029,p2@CNNM1
T000030,p1@CNNM1
T000031,p6@CNNM1
T000032,p1@GOT1
T000033,p2@GOT1
T000034,p3@GOT1
T000036,p7@GOT1
T000038,p1@NKX2-3
T000039,p2@NKX2-3
T000040,p4@NKX2-3
T000044,p1@SLC25A28
T000046,p10@SLC25A28
T000050,p2@SLC25A28
T000051,p1@ENTPD7
T000056,p1@COX15
T000057,p1@CUTC
T000058,p2@ABCC2
T000059,p7@ABCC2
T000060,p4@ABCC2
T000061,p3@ABCC2
T000062,p1@ABCC2
T000063,p5@ABCC2
T000064,p6@ABCC2
T000067,p3@DNMBP
T000068,p4@DNMBP
T000069,p5@DNMBP
T000070,p2@DNMBP
T000071,p14@DNMBP
T000072,p13@DNMBP
T000073,p8@DNMBP
T000074,p7@DNMBP
T000075,p6@DNMBP
T000076,p11@DNMBP
T000079,p1@DNMBP
T000082,p3@CPN1
T000083,p2@CPN1
T000084,p1@CPN1
T000091,p9@ERLIN1
T000092,p5@ERLIN1
T000093,p3@ERLIN1
T000094,p2@ERLIN1
T000095,p4@ERLIN1
T000096,p1@ERLIN1
T000097,p6@ERLIN1
T000099,p1@CHUK
T000102,p1@SNORA12
T000106,p1@CWF19L1
T000107,p2@CWF19L1
T000108,p3@BLOC1S2
T000109,p5@BLOC1S2
T000110,p4@BLOC1S2
T000112,p2@BLOC1S2
T000113,p1@BLOC1S2
T000118,p2@PKD2L1
T000119,p1@PKD2L1
T000120,p14@SCD
T000121,p15@SCD
T000123,p2@SCD
T000124,p4@SCD
T000125,p5@SCD
T000126,p1@SCD
T000127,p10@SCD
T000128,p12@SCD
T000129,p6@SCD
T000130,p3@SCD
T000131,p9@SCD
T000132,p11@SCD
T000133,p7@SCD
T000134,p19@SCD
T000135,p8@SCD
T000138,p13@SCD
T000139,p20@SCD
T000141,p16@SCD
T000143,p21@SCD
T000192,p4@LINC00263
T000193,p1@LINC00263
T000194,p3@LINC00263
T000195,p6@LINC00263
T000196,p5@LINC00263
T000197,p7@LINC00263
T000198,p2@LINC00263
T000201,p2@WNT8B
T000202,p1@WNT8B
T000210,p5@SEC31B
T000211,p12@SEC31B
T000212,p4@SEC31B
T000213,p10@SEC31B
T000216,p2@SEC31B
