T170778,p1@ZC3HC1
T140780,p1@FGB
T148430,p1@TERT
T088832,p34@CD55
T088833,p1@CD55
T088834,p10@CD55
T088842,p17@CD55
T088843,p14@CD55
T088848,p9@CD55
T088850,p5@CD55
T095546,p3@PCSK9
T095547,p8@PCSK9
T095548,p1@PCSK9
T095602,p7@PPAP2B
T095616,p15@PPAP2B
T095617,p10@PPAP2B
T095619,p13@PPAP2B
T095620,p14@PPAP2B
T095621,p1@PPAP2B
T095625,p4@PPAP2B
T046877,p17@MORF4L1
T046882,p6@MORF4L1
T046884,p9@MORF4L1
T046885,p8@MORF4L1
T046886,p1@MORF4L1
T046887,p2@MORF4L1
T046888,p3@MORF4L1
T046889,p4@MORF4L1
T046892,p5@MORF4L1
T080173,p1@CELSR2
T007947,p15@LIPA
T007950,p8@LIPA
T007951,p7@LIPA
T007963,p2@LIPA
T008018,p3@LIPA
T008030,p4@LIPA
T008032,p16@LIPA
T008034,p5@LIPA
T008037,p6@LIPA
T090118,p1@MIA3
T090121,p2@MIA3
T090122,p3@MIA3
T090123,p16@MIA3
T172658,p10@NOS3
T172660,p1@NOS3
T172663,p3@NOS3
T045737,p2@SMAD3
T045738,p3@SMAD3
T045739,p6@SMAD3
T045740,p12@SMAD3
T045741,p7@SMAD3
T045742,p1@SMAD3
T045743,p15@SMAD3
T045750,p13@SMAD3
T045762,p4@SMAD3
T045771,p10@SMAD3
T045787,p18@SMAD3
T045789,p17@SMAD3
T045790,p23@SMAD3
T022665,p1@SCARB1
T022666,p4@SCARB1
T022667,p2@SCARB1
T022668,p3@SCARB1
T031315,p12@COL4A1
T031316,p10@COL4A1
T031326,p17@COL4A1
T031346,p1@COL4A1
T149874,p1@ARHGAP26
T149893,p7@ARHGAP26
T149948,p13@ARHGAP26
T129498,p10@MRAS
T129499,p15@MRAS
T129501,p6@MRAS
T129503,p1@MRAS
T129504,p11@MRAS
T129506,p2@MRAS
T129508,p7@MRAS
T129509,p4@MRAS
T129510,p9@MRAS
T031342,p7@COL4A2
T031343,p11@COL4A2
T031344,p37@COL4A2
T031345,p5@COL4A2
T031348,p1@COL4A2
T031376,p3@COL4A2
T054401,p2@CDH13
T069737,p10@LDLR
T069738,p8@LDLR
T069739,p1@LDLR
T069740,p2@LDLR
T069744,p3@LDLR
T069745,p9@LDLR
T069750,p6@LDLR
T069751,p7@LDLR
T083043,p5@IL6R
T083045,p4@IL6R
T083048,p2@IL6R
T030018,p8@ATP2B1
T030022,p18@ATP2B1
T030023,p15@ATP2B1
T030024,p21@ATP2B1
T030040,p1@ATP2B1
T030049,p12@ATP2B1
T030050,p2@ATP2B1
T030053,p14@ATP2B1
T053989,p3@CFDP1
T053990,p1@CFDP1
T047894,p1@FURIN
T047895,p5@FURIN
T047900,p4@FURIN
T047901,p9@FURIN
T047902,p6@FURIN
T047904,p3@FURIN
T047905,p2@FURIN
T021093,p13@ATXN2
T021094,p5@ATXN2
T021100,p8@ATXN2
T021101,p6@ATXN2
T021102,p1@ATXN2
T021103,p2@ATXN2
T021104,p3@ATXN2
T140366,p1@EDNRA
T140367,p5@EDNRA
T117461,p4@NBEAL1
T117462,p3@NBEAL1
T117463,p1@NBEAL1
T117464,p2@NBEAL1
T117465,p6@NBEAL1
T056369,p4@SMG6
T056370,p19@SMG6
T056371,p2@SMG6
T056373,p3@SMG6
T056374,p1@SMG6
T056375,p6@SMG6
T128403,p1@UMPS
T069722,p2@SMARCA4
T069723,p4@SMARCA4
T069724,p3@SMARCA4
T069725,p1@SMARCA4
T021081,p1@SH2B3
T021082,p3@SH2B3
T021083,p2@SH2B3
T021091,p4@SH2B3
T182939,p1@LPL
T182941,p3@LPL
T010044,p1@ZNF259
T010045,p2@ZNF259
T047909,p5@FES
T047910,p3@FES
T047912,p1@FES
T192284,p2@CDKN2B
T192285,p1@CDKN2B
T118784,p6@TNS1
T118789,p3@TNS1
T118791,p46@TNS1
T118796,p10@TNS1
T118797,p20@TNS1
T118798,p9@TNS1
T118799,p5@TNS1
T118807,p7@TNS1
T118819,p26@TNS1
T118820,p30@TNS1
T118821,p1@TNS1
T118825,p4@TNS1
T118833,p2@TNS1
T118834,p14@TNS1
T000549,p1@AS3MT
T000550,p3@AS3MT
T014991,p2@TRIM5
T014992,p3@TRIM5
T014993,p1@TRIM5
T080188,p2@PSRC1
T080189,p1@PSRC1
T035053,p1@CYP46A1
T130661,p1@ARHGEF26
T130662,p2@ARHGEF26
T180574,p16@TRIB1
T180576,p6@TRIB1
T180577,p3@TRIB1
T180578,p1@TRIB1
T180580,p11@TRIB1
T180581,p17@TRIB1
T180589,p14@TRIB1
T075400,p1@APOE
T075401,p6@APOE
T074587,p8@TGFB1
T074598,p13@TGFB1
T074600,p9@TGFB1
T074601,p10@TGFB1
T074602,p4@TGFB1
T074603,p19@TGFB1
T074605,p11@TGFB1
T118302,p70@FN1
T118304,p59@FN1
T118314,p79@FN1
T118318,p77@FN1
T118352,p80@FN1
T118388,p74@FN1
T118396,p86@FN1
T118397,p89@FN1
T118554,p1@FN1
T118556,p78@FN1
T118185,p1@APOB
T166092,p1@VEGFA
T166093,p2@VEGFA
T166095,p3@VEGFA
T166100,p6@VEGFA
